"Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","NDVI","GNDVI","NDRE","NDWI","DVI","SR","Class","Class_int","Class2","Class2_int"
0.0641,0.0409,0.0771,0.0587,0.0839,0.0651,0.0989,0.2577,0.596654275092937,0.628950695322377,0.445316881660123,-0.628950695322377,0.1926,3.95852534562212,"NPV","4","bare soil","0"
0.0623,0.0382,0.077,0.0573,0.0844,0.0599,0.0994,0.2611,0.626791277258567,0.640075376884422,0.448543689320388,-0.640075376884422,0.2012,4.35893155258765,"tree","1","vegetation","1"
0.0627,0.0453,0.0845,0.0663,0.0956,0.0704,0.1069,0.2698,0.586125808348031,0.605474561142517,0.432439607114415,-0.605474561142517,0.1994,3.83238636363636,"NPV","4","bare soil","0"
0.0713,0.0555,0.1001,0.0839,0.1144,0.0909,0.1236,0.2818,0.512208210356855,0.541153951326224,0.390231869758263,-0.541153951326224,0.1909,3.1001100110011,"bare earth","0","bare soil","0"
0.0687,0.0497,0.0886,0.074,0.1106,0.0954,0.1289,0.2759,0.486129814166442,0.577022006287511,0.363142292490119,-0.577022006287511,0.1805,2.89203354297694,"NPV","4","bare soil","0"
0.0784,0.0627,0.1056,0.0939,0.1227,0.1081,0.137,0.2743,0.434623430962343,0.489951113525258,0.333819596401653,-0.489951113525258,0.1662,2.53746530989824,"shrub","2","vegetation","1"
0.0998,0.0939,0.1382,0.1314,0.1779,0.1618,0.1851,0.2981,0.296368775820831,0.388125727590221,0.23385761589404,-0.388125727590221,0.1363,1.84239802224969,"bare earth","0","bare soil","0"
0.0922,0.0718,0.1178,0.1094,0.1523,0.1386,0.1657,0.3149,0.388754134509372,0.48432712703276,0.310445276737412,-0.48432712703276,0.1763,2.27200577200577,"NPV","4","bare soil","0"
0.0853,0.066,0.1068,0.0949,0.1347,0.122,0.1621,0.3176,0.444949954504095,0.539878787878788,0.324160933917031,-0.539878787878788,0.1956,2.60327868852459,"shrub","2","vegetation","1"
0.094,0.082,0.1244,0.1168,0.1612,0.1499,0.1813,0.3004,0.334221630024428,0.440076701821668,0.247249325306207,-0.440076701821668,0.1505,2.00400266844563,"shrub","2","vegetation","1"
0.0918,0.0786,0.1236,0.1185,0.1618,0.1505,0.1824,0.2979,0.328724353256021,0.430835734870317,0.240474703310431,-0.430835734870317,0.1474,1.97940199335548,"bare earth","0","bare soil","0"
0.0914,0.0765,0.1182,0.1136,0.1541,0.1419,0.1693,0.2915,0.345177664974619,0.439150826956307,0.265190972222222,-0.439150826956307,0.1496,2.05426356589147,"grass","3","vegetation","1"
0.0882,0.0753,0.1194,0.1065,0.157,0.1428,0.1756,0.311,0.370647862494491,0.489820359281437,0.278257295519934,-0.489820359281437,0.1682,2.17787114845938,"NPV","4","bare soil","0"
0.0865,0.076,0.1132,0.1052,0.1452,0.1366,0.1743,0.3151,0.395173787912331,0.499405186771354,0.287699223539027,-0.499405186771354,0.1785,2.30673499267936,"shrub","2","vegetation","1"
0.0847,0.0777,0.1115,0.108,0.1412,0.134,0.1733,0.3238,0.414591524683268,0.499768411301528,0.302755984711326,-0.499768411301528,0.1898,2.41641791044776,"NPV","4","bare soil","0"
0.0882,0.0712,0.1124,0.106,0.1474,0.1316,0.161,0.2799,0.360388821385176,0.450634879502462,0.269675663415741,-0.450634879502462,0.1483,2.12689969604863,"shrub","2","vegetation","1"
0.0815,0.0704,0.1086,0.0964,0.1379,0.1226,0.1615,0.3165,0.441585060350717,0.533058852022281,0.324267782426778,-0.533058852022281,0.1939,2.5815660685155,"NPV","4","bare soil","0"
0.1005,0.0891,0.1355,0.1274,0.1751,0.1641,0.1843,0.3046,0.299765308299552,0.410185185185185,0.246062589486603,-0.410185185185185,0.1405,1.85618525289458,"bare earth","0","bare soil","0"
0.0948,0.0776,0.1207,0.1151,0.1548,0.1381,0.1678,0.2582,0.303053242493061,0.38333779801768,0.212206572769953,-0.38333779801768,0.1201,1.86965966690804,"tree","1","vegetation","1"
0.0955,0.0775,0.1227,0.1144,0.1559,0.1397,0.1651,0.2639,0.307730426164519,0.395189003436426,0.23030303030303,-0.395189003436426,0.1242,1.8890479599141,"tree","1","vegetation","1"
0.0847,0.064,0.1137,0.1042,0.1426,0.1134,0.1693,0.3623,0.523228925793567,0.553269024651661,0.363054928517682,-0.553269024651661,0.2489,3.19488536155203,"NPV","4","bare soil","0"
0.0867,0.074,0.1185,0.1072,0.1484,0.1262,0.1551,0.265,0.35480572597137,0.423965609887157,0.261604379909545,-0.423965609887157,0.1388,2.09984152139461,"grass","3","vegetation","1"
0.0665,0.0448,0.0911,0.0678,0.0931,0.0732,0.1103,0.2755,0.580154860911959,0.605010195164579,0.428201140487299,-0.605010195164579,0.2023,3.76366120218579,"tree","1","vegetation","1"
0.0786,0.0576,0.1004,0.0859,0.1169,0.0976,0.1271,0.248,0.435185185185185,0.485474693021863,0.322314049586777,-0.485474693021863,0.1504,2.54098360655738,"tree","1","vegetation","1"
0.0823,0.0651,0.1038,0.0897,0.1245,0.1074,0.1289,0.2136,0.330841121495327,0.408506429277943,0.247299270072993,-0.408506429277943,0.1062,1.98882681564246,"NPV","4","bare soil","0"
0.0692,0.0496,0.0894,0.0725,0.1085,0.088,0.1096,0.1796,0.342301943198804,0.42483141610472,0.242047026279391,-0.42483141610472,0.0916,2.04090909090909,"grass","3","vegetation","1"
0.0688,0.046,0.0916,0.0783,0.1067,0.0781,0.127,0.2818,0.56599055293137,0.56512079977784,0.37866927592955,-0.56512079977784,0.2037,3.60819462227913,"tree","1","vegetation","1"
0.0776,0.0533,0.0992,0.0869,0.1145,0.0883,0.1413,0.2965,0.541060291060291,0.546687532603026,0.354499771585199,-0.546687532603026,0.2082,3.35787089467724,"tree","1","vegetation","1"
0.0764,0.0557,0.0996,0.0844,0.1167,0.091,0.1429,0.3104,0.546586945690085,0.572441742654509,0.369512464151776,-0.572441742654509,0.2194,3.41098901098901,"tree","1","vegetation","1"
0.0753,0.0502,0.0946,0.0773,0.1104,0.0853,0.1233,0.2722,0.522797202797203,0.557653791130186,0.376485461441214,-0.557653791130186,0.1869,3.19109026963658,"tree","1","vegetation","1"
0.0956,0.0789,0.1163,0.1065,0.1479,0.1319,0.1575,0.2638,0.333333333333333,0.424790710234945,0.252314265369096,-0.424790710234945,0.1319,2,"shrub","2","vegetation","1"
0.0727,0.0498,0.0864,0.0707,0.1014,0.0846,0.1095,0.227,0.456996148908858,0.525025193147464,0.349182763744428,-0.525025193147464,0.1424,2.68321513002364,"other","6","bare soil","0"
0.0712,0.0452,0.0873,0.0689,0.1001,0.0712,0.1138,0.2607,0.570955106959928,0.581917475728155,0.392256341789052,-0.581917475728155,0.1895,3.66151685393258,"other","6","bare soil","0"
0.0986,0.0911,0.1328,0.123,0.1691,0.1495,0.1792,0.293,0.324293785310734,0.408653846153846,0.240999576450657,-0.408653846153846,0.1435,1.95986622073579,"bare earth","0","bare soil","0"
0.091,0.077,0.1186,0.1089,0.1507,0.1274,0.16,0.2972,0.399905793688177,0.463678896823443,0.300087489063867,-0.463678896823443,0.1698,2.33281004709576,"NPV","4","bare soil","0"
0.0796,0.0558,0.0987,0.0908,0.1162,0.0953,0.1458,0.293,0.509142415657996,0.526836894215737,0.335460346399271,-0.526836894215737,0.1977,3.07450157397692,"shrub","2","vegetation","1"
0.0715,0.0523,0.0915,0.0765,0.0999,0.0769,0.1137,0.2778,0.566394135889484,0.568162574089754,0.419157088122605,-0.568162574089754,0.2009,3.61248374512354,"tree","1","vegetation","1"
0.0823,0.0656,0.1075,0.0915,0.1288,0.1022,0.1316,0.302,0.494309747649678,0.534942820838628,0.392988929889299,-0.534942820838628,0.1998,2.95499021526419,"grass","3","vegetation","1"
0.0739,0.0521,0.0906,0.0751,0.1044,0.0804,0.1092,0.2792,0.552836484983315,0.576065481230596,0.437693099897013,-0.576065481230596,0.1988,3.4726368159204,"shrub","2","vegetation","1"
0.0833,0.0642,0.1039,0.0938,0.1256,0.1054,0.128,0.2456,0.3994301994302,0.447259870359458,0.314775160599572,-0.447259870359458,0.1402,2.33017077798862,"bare earth","0","bare soil","0"
0.0606,0.0326,0.0666,0.0501,0.0733,0.0538,0.0855,0.2193,0.606005126327352,0.628062360801782,0.438976377952756,-0.628062360801782,0.1655,4.07620817843866,"tree","1","vegetation","1"
0.0914,0.0701,0.1048,0.0964,0.1316,0.1107,0.1401,0.2395,0.367789834380354,0.426019648704972,0.261854583772392,-0.426019648704972,0.1288,2.16350496838302,"tree","1","vegetation","1"
0.0874,0.0694,0.1045,0.0949,0.1291,0.1118,0.1326,0.2373,0.359495846462332,0.428657435279952,0.283049472830495,-0.428657435279952,0.1255,2.12254025044723,"bare earth","0","bare soil","0"
0.0854,0.0664,0.1062,0.0921,0.1343,0.112,0.1281,0.2392,0.362186788154897,0.444008451554482,0.302477538796624,-0.444008451554482,0.1272,2.13571428571429,"NPV","4","bare soil","0"
0.0777,0.0549,0.0944,0.0765,0.1064,0.0851,0.1167,0.2415,0.47887323943662,0.518867924528302,0.348408710217755,-0.518867924528302,0.1564,2.83783783783784,"grass","3","vegetation","1"
0.0686,0.0366,0.0673,0.051,0.0821,0.059,0.0808,0.2007,0.54562957258375,0.594755661501788,0.425932504440497,-0.594755661501788,0.1417,3.40169491525424,"tree","1","vegetation","1"
0.0989,0.0837,0.1225,0.1138,0.154,0.1345,0.1598,0.2788,0.349141059762884,0.420275089149261,0.271317829457364,-0.420275089149261,0.1443,2.0728624535316,"bare earth","0","bare soil","0"
0.0728,0.0509,0.0925,0.0775,0.1086,0.0804,0.1224,0.2621,0.530510948905109,0.543580683156655,0.36332899869961,-0.543580683156655,0.1817,3.25995024875622,"tree","1","vegetation","1"
0.084,0.0717,0.1133,0.1011,0.1413,0.1192,0.1505,0.2904,0.41796875,0.483524904214559,0.317305511453844,-0.483524904214559,0.1712,2.43624161073825,"NPV","4","bare soil","0"
0.0742,0.046,0.0867,0.0727,0.1016,0.0776,0.1151,0.2404,0.511949685534591,0.535611625678697,0.352461322081575,-0.535611625678697,0.1628,3.0979381443299,"tree","1","vegetation","1"
0.0857,0.0719,0.1087,0.0952,0.1331,0.1161,0.1372,0.2356,0.339778220073927,0.424425634824667,0.263948497854077,-0.424425634824667,0.1195,2.02928509905254,"bare earth","0","bare soil","0"
0.0853,0.0712,0.1097,0.0953,0.1309,0.1149,0.1406,0.2421,0.356302521008403,0.435091879075282,0.265220799581918,-0.435091879075282,0.1272,2.10704960835509,"tree","1","vegetation","1"
0.0882,0.0669,0.1068,0.0937,0.1357,0.1078,0.1306,0.2493,0.396247549705965,0.453644314868805,0.312450644906554,-0.453644314868805,0.1415,2.3126159554731,"NPV","4","bare soil","0"
0.0715,0.0413,0.082,0.0661,0.087,0.0647,0.1027,0.2364,0.570242444370641,0.56297520661157,0.394278973754055,-0.56297520661157,0.1717,3.65378670788254,"tree","1","vegetation","1"
0.0718,0.057,0.0935,0.0767,0.108,0.0883,0.1204,0.293,0.536847626540782,0.585068974844469,0.417513304305757,-0.585068974844469,0.2047,3.31823329558324,"shrub","2","vegetation","1"
0.0754,0.0639,0.0912,0.0767,0.1098,0.0891,0.1205,0.2987,0.540484785972151,0.591369206180075,0.425095419847328,-0.591369206180075,0.2096,3.35241301907969,"shrub","2","vegetation","1"
0.075,0.0636,0.097,0.0832,0.1153,0.0935,0.1188,0.2986,0.523080846722775,0.564169722367732,0.430761859127935,-0.564169722367732,0.2051,3.19358288770053,"shrub","2","vegetation","1"
0.0653,0.0437,0.0808,0.0557,0.0806,0.0581,0.0939,0.26,0.634706067274442,0.647133354450428,0.469341621927098,-0.647133354450428,0.2019,4.4750430292599,"tree","1","vegetation","1"
0.0645,0.0449,0.0815,0.0614,0.0846,0.0631,0.0975,0.2598,0.609166924744503,0.617683686176837,0.45424013434089,-0.617683686176837,0.1967,4.11727416798732,"tree","1","vegetation","1"
0.0698,0.0499,0.0874,0.0713,0.1034,0.083,0.1112,0.2445,0.493129770992366,0.548448385053832,0.374754006184987,-0.548448385053832,0.1615,2.94578313253012,"tree","1","vegetation","1"
0.0697,0.0531,0.0908,0.0762,0.1044,0.0794,0.1126,0.2613,0.533900792486058,0.548444444444445,0.397699919764643,-0.548444444444445,0.1819,3.29093198992443,"shrub","2","vegetation","1"
0.0662,0.0505,0.0895,0.0681,0.093,0.072,0.1134,0.2728,0.582366589327146,0.600469345849223,0.412739513205593,-0.600469345849223,0.2008,3.78888888888889,"tree","1","vegetation","1"
0.0862,0.0778,0.1211,0.1057,0.1396,0.1298,0.1588,0.3089,0.408251652609984,0.490110950313555,0.320932221509515,-0.490110950313555,0.1791,2.37981510015408,"shrub","2","vegetation","1"
0.0916,0.0769,0.116,0.1054,0.1425,0.1236,0.1542,0.2943,0.408470926058866,0.472604453340005,0.312374581939799,-0.472604453340005,0.1707,2.38106796116505,"shrub","2","vegetation","1"
0.0752,0.0606,0.0951,0.0862,0.1179,0.098,0.1346,0.2813,0.483258634326391,0.530884353741497,0.352729021399375,-0.530884353741497,0.1833,2.87040816326531,"tree","1","vegetation","1"
0.0621,0.0469,0.0827,0.0638,0.0971,0.0783,0.112,0.2519,0.525741974560872,0.595818815331011,0.384446276449574,-0.595818815331011,0.1736,3.21711366538953,"tree","1","vegetation","1"
0.0701,0.0503,0.0876,0.0714,0.1049,0.0841,0.1141,0.2759,0.532777777777778,0.588828102505039,0.414871794871795,-0.588828102505039,0.1918,3.28061831153389,"tree","1","vegetation","1"
0.0592,0.0349,0.0764,0.0547,0.0787,0.0526,0.0795,0.2535,0.656321463573995,0.645035691109669,0.522522522522522,-0.645035691109669,0.2009,4.81939163498099,"tree","1","vegetation","1"
0.066,0.0475,0.0884,0.0701,0.0997,0.0711,0.1167,0.3101,0.626967471143757,0.631246712256707,0.453139643861293,-0.631246712256707,0.239,4.36146272855134,"tree","1","vegetation","1"
0.0762,0.0622,0.1024,0.0878,0.1205,0.0981,0.1351,0.283,0.485174494883233,0.526429341963323,0.353743123654628,-0.526429341963323,0.1849,2.88481141692151,"tree","1","vegetation","1"
0.0684,0.043,0.0857,0.0671,0.0905,0.0662,0.1088,0.2803,0.617893217893218,0.613701784686241,0.440760729889489,-0.613701784686241,0.2141,4.23413897280967,"tree","1","vegetation","1"
0.0633,0.0345,0.0756,0.0589,0.0805,0.0523,0.0994,0.318,0.7175263300027,0.687450252056248,0.523718255869669,-0.687450252056248,0.2657,6.08030592734226,"tree","1","vegetation","1"
0.0811,0.0562,0.0969,0.0819,0.1062,0.086,0.1236,0.2933,0.546533087266016,0.563432835820896,0.407052050851523,-0.563432835820896,0.2073,3.41046511627907,"other","6","bare soil","0"
0.0572,0.0379,0.0756,0.0563,0.0754,0.0507,0.091,0.2589,0.672480620155039,0.642766497461929,0.479851386110317,-0.642766497461929,0.2082,5.10650887573965,"tree","1","vegetation","1"
0.063,0.0351,0.0801,0.0609,0.0828,0.0576,0.0994,0.2825,0.661276095266098,0.645311589982528,0.479444880858864,-0.645311589982528,0.2249,4.90451388888889,"shrub","2","vegetation","1"
0.0617,0.0373,0.0781,0.0583,0.0821,0.053,0.1006,0.2956,0.695926563396443,0.670528397852501,0.492175668854114,-0.670528397852501,0.2426,5.57735849056604,"tree","1","vegetation","1"
0.0589,0.0357,0.0746,0.0552,0.0759,0.0457,0.093,0.2898,0.727570789865872,0.68,0.5141065830721,-0.68,0.2441,6.34135667396061,"tree","1","vegetation","1"
0.0643,0.0368,0.0749,0.0605,0.0867,0.0617,0.096,0.2232,0.566865566865567,0.573493126542122,0.398496240601504,-0.573493126542122,0.1615,3.61750405186386,"tree","1","vegetation","1"
0.07,0.0412,0.0789,0.0611,0.0886,0.0624,0.0939,0.2356,0.581208053691275,0.588136164475902,0.430045523520486,-0.588136164475902,0.1732,3.77564102564103,"tree","1","vegetation","1"
0.0696,0.045,0.0877,0.0745,0.0932,0.07,0.1189,0.3062,0.627857522594365,0.608615707906488,0.440602211244413,-0.608615707906488,0.2362,4.37428571428571,"tree","1","vegetation","1"
0.0736,0.0467,0.0832,0.067,0.098,0.073,0.1136,0.2697,0.573971403559965,0.602019602019602,0.407252804591704,-0.602019602019602,0.1967,3.69452054794521,"tree","1","vegetation","1"
0.0761,0.0535,0.1,0.0812,0.1207,0.0952,0.1358,0.2836,0.497360084477297,0.554824561403509,0.35240820219361,-0.554824561403509,0.1884,2.97899159663866,"tree","1","vegetation","1"
0.0748,0.0491,0.0923,0.0756,0.1062,0.0785,0.1142,0.2575,0.532738095238095,0.546082257580306,0.385525961797148,-0.546082257580306,0.179,3.28025477707006,"shrub","2","vegetation","1"
0.0757,0.0523,0.0886,0.0735,0.1068,0.0801,0.1087,0.2533,0.519496100779844,0.550183598531212,0.399447513812155,-0.550183598531212,0.1732,3.16229712858926,"shrub","2","vegetation","1"
0.0719,0.0488,0.0894,0.0725,0.1059,0.0764,0.1081,0.2674,0.555555555555556,0.573403942335981,0.424234354194407,-0.573403942335981,0.191,3.5,"tree","1","vegetation","1"
0.0687,0.0456,0.0881,0.0727,0.0974,0.0742,0.1155,0.2865,0.588577765456058,0.59521158129176,0.425373134328358,-0.59521158129176,0.2123,3.86118598382749,"tree","1","vegetation","1"
0.0656,0.0444,0.0819,0.0687,0.0946,0.0657,0.1175,0.2842,0.624464132609317,0.610654576367243,0.414986308190192,-0.610654576367243,0.2185,4.32572298325723,"tree","1","vegetation","1"
0.0677,0.0369,0.0733,0.0552,0.0816,0.0605,0.0885,0.2313,0.585332419465387,0.614659685863874,0.446529080675422,-0.614659685863874,0.1708,3.82314049586777,"tree","1","vegetation","1"
0.0749,0.0555,0.096,0.0823,0.1121,0.0878,0.1205,0.2364,0.458359037631092,0.483526827737684,0.324740823760157,-0.483526827737684,0.1486,2.69248291571754,"tree","1","vegetation","1"
0.0739,0.0487,0.0894,0.07,0.1041,0.0807,0.1173,0.2638,0.531494920174165,0.580587177950869,0.384413539753345,-0.580587177950869,0.1831,3.26889714993804,"shrub","2","vegetation","1"
0.0706,0.0468,0.0869,0.0704,0.0972,0.0709,0.1117,0.2631,0.575449101796407,0.577811094452774,0.403948772678762,-0.577811094452774,0.1922,3.71086036671368,"tree","1","vegetation","1"
0.0562,0.0306,0.0671,0.044,0.0691,0.0413,0.0783,0.2511,0.717510259917921,0.701796001355473,0.524590163934426,-0.701796001355473,0.2098,6.07990314769976,"tree","1","vegetation","1"
0.0563,0.0317,0.073,0.0502,0.0749,0.0436,0.0955,0.3024,0.747976878612717,0.715258082813386,0.519979894445841,-0.715258082813386,0.2588,6.93577981651376,"tree","1","vegetation","1"
0.0613,0.0336,0.0696,0.0505,0.0734,0.0474,0.0912,0.2766,0.707407407407407,0.691225924793641,0.504078303425775,-0.691225924793641,0.2292,5.83544303797468,"tree","1","vegetation","1"
0.0669,0.0412,0.076,0.0594,0.0838,0.0599,0.0982,0.255,0.619561765639886,0.622137404580153,0.443941109852775,-0.622137404580153,0.1951,4.25709515859766,"tree","1","vegetation","1"
0.0755,0.0481,0.0905,0.0765,0.0995,0.0786,0.119,0.2411,0.508289020957147,0.518261964735516,0.339072479866704,-0.518261964735516,0.1625,3.06743002544529,"tree","1","vegetation","1"
0.0812,0.0627,0.105,0.0922,0.1207,0.1009,0.1349,0.2318,0.393447550345657,0.430864197530864,0.264248704663212,-0.430864197530864,0.1309,2.29732408325074,"shrub","2","vegetation","1"
0.0605,0.0396,0.0761,0.0585,0.0822,0.0595,0.0922,0.2608,0.628473306275367,0.633573441904165,0.477620396600567,-0.633573441904165,0.2013,4.38319327731092,"tree","1","vegetation","1"
0.0645,0.0406,0.0789,0.0598,0.0843,0.06,0.0976,0.2777,0.644655019247853,0.64562962962963,0.4798827604583,-0.64562962962963,0.2177,4.62833333333333,"tree","1","vegetation","1"
0.0702,0.0482,0.0899,0.0701,0.0954,0.0782,0.11,0.3268,0.613827160493827,0.646762408667171,0.496336996336996,-0.646762408667171,0.2486,4.17902813299233,"shrub","2","vegetation","1"
0.0674,0.046,0.0865,0.0651,0.0896,0.0718,0.1094,0.309,0.622899159663865,0.65196471531676,0.477055449330784,-0.65196471531676,0.2372,4.30362116991643,"shrub","2","vegetation","1"
